"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"T3A Nano","t3a.nano","0.5 GiB","Base performance:                 10%","2 vCPUs                                                   for a                 1h 12m                 burst","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Low","1536.0 Mbps","192.0 MB/s","11800.0 IOPS","Yes","4","2","Yes","Yes","Yes","No","Unknown","No","$3.431000 monthly","$1.460000 monthly","unavailable","unavailable","$0.0047 hourly","$0.0069 hourly","$6.789000 monthly","$4.818000 monthly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T3 Nano","t3.nano","0.5 GiB","Base performance:                 10%","2 vCPUs                                                   for a                 1h 12m                 burst","0","None","0 GiB","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Low","1536.0 Mbps","192.0 MB/s","11800.0 IOPS","Yes","4","2","No","Yes","Yes","No","Unknown","No","$3.796000 monthly","$1.606000 monthly","unavailable","unavailable","$0.0052 hourly","$0.0073 hourly","$7.154000 monthly","$4.964000 monthly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T2 Nano","t2.nano","0.5 GiB","Base performance:                 5%","1 vCPUs                                                   for a                 1h 12m                 burst","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low","N/A","0 MB/s","0 IOPS","No","4","2","No","Yes","Yes","No","HVM","No","$4.234000 monthly","$1.825000 monthly","unavailable","unavailable","$0.0158 hourly","$0.0126 hourly","$5.913000 monthly","$3.504000 monthly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T3A Micro","t3a.micro","1.0 GiB","Base performance:                 20%","2 vCPUs                                                   for a                 2h 24m                 burst","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Low to Moderate","1536.0 Mbps","192.0 MB/s","11800.0 IOPS","Yes","4","2","Yes","Yes","Yes","No","Unknown","No","$6.862000 monthly","$2.993000 monthly","$0.0694 hourly","$0.0659 hourly","$0.0094 hourly","$0.0099 hourly","$13.578000 monthly","$9.709000 monthly","$0.0862 hourly","$0.0827 hourly","unavailable","unavailable","unavailable","unavailable","$0.077 hourly","$0.0735 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T3 Micro","t3.micro","1.0 GiB","Base performance:                 20%","2 vCPUs                                                   for a                 2h 24m                 burst","0","None","0 GiB","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Low to Moderate","1536.0 Mbps","192.0 MB/s","11800.0 IOPS","Yes","4","2","No","Yes","Yes","No","Unknown","No","$7.592000 monthly","$3.285000 monthly","$0.0704 hourly","$0.0665 hourly","$0.0104 hourly","$0.0105 hourly","$14.308000 monthly","$10.001000 monthly","$0.0872 hourly","$0.0833 hourly","unavailable","unavailable","unavailable","unavailable","$0.078 hourly","$0.0741 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T2 Micro","t2.micro","1.0 GiB","Base performance:                 10%","1 vCPUs                                                   for a                 2h 24m                 burst","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","No","4","2","No","Yes","Yes","No","HVM","No","$8.468000 monthly","$3.650000 monthly","$0.0716 hourly","$0.0672 hourly","$0.0216 hourly","$0.0162 hourly","$11.826000 monthly","$7.008000 monthly","$0.068 hourly","$0.047 hourly","unavailable","unavailable","unavailable","unavailable","$0.0792 hourly","$0.0748 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T3A Small","t3a.small","2.0 GiB","Base performance:                 40%","2 vCPUs                                                   for a                 4h 48m                 burst","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Low to Moderate","1536.0 Mbps","192.0 MB/s","11800.0 IOPS","Yes","8","2","Yes","Yes","Yes","No","Unknown","No","$13.724000 monthly","$5.913000 monthly","$0.0788 hourly","$0.0718 hourly","$0.0498 hourly","$0.0248 hourly","$27.156000 monthly","$19.345000 monthly","$0.1048 hourly","$0.0978 hourly","unavailable","unavailable","unavailable","unavailable","$0.0864 hourly","$0.0794 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T1 Micro","t1.micro","0.613 GiB","Burstable","1 vCPUs","0","None","0 GiB","0","0","Burstable","Variable","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","32/64-bit","Very Low","N/A","0 MB/s","0 IOPS","No","4","2","No","No","No","No","PV","No","$14.600000 monthly","unavailable","$0.08 hourly","$0.074 hourly","$0.03 hourly","$0.022 hourly","$14.600000 monthly","unavailable","$0.07 hourly","$0.047 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T3 Small","t3.small","2.0 GiB","Base performance:                 40%","2 vCPUs                                                   for a                 4h 48m                 burst","0","None","0 GiB","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Low to Moderate","1536.0 Mbps","192.0 MB/s","11800.0 IOPS","Yes","12","3","No","Yes","Yes","No","Unknown","No","$15.184000 monthly","$6.570000 monthly","$0.0808 hourly","$0.073 hourly","$0.0518 hourly","$0.026 hourly","$28.616000 monthly","$20.002000 monthly","$0.1068 hourly","$0.099 hourly","unavailable","unavailable","unavailable","unavailable","$0.0884 hourly","$0.0806 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T2 Small","t2.small","2.0 GiB","Base performance:                 20%","1 vCPUs                                                   for a                 4h 48m                 burst","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","No","12","3","No","Yes","Yes","No","HVM","No","$16.790000 monthly","$7.300000 monthly","$0.083 hourly","$0.0744 hourly","$0.053 hourly","$0.028 hourly","$23.360000 monthly","$14.016000 monthly","$0.1034 hourly","$0.093 hourly","unavailable","unavailable","unavailable","unavailable","$0.0908 hourly","$0.082 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
