,API_Name,monthly_cost,ratio
0,t3a.nano,3.431,1.0
1,t3.nano,3.796,1.106382978723404
2,t2.nano,4.234,1.0
3,t3a.micro,6.862,2.0
4,t3.micro,7.592,2.212765957446808
5,t2.micro,8.468,2.0
6,t3a.small,13.724,4.0
7,t1.micro,14.6,1.0
8,t3.small,15.184,4.425531914893616
9,t2.small,16.79,3.96551724137931
10,a1.medium,18.615,1.0
11,t3a.medium,27.448,8.0
12,t3.medium,30.368,8.851063829787233
13,m1.small,32.12,1.0
14,t2.medium,33.872,8.0
15,a1.large,37.23,2.0
16,m3.medium,48.91,1.0
17,t3a.large,54.896,16.0
18,t3.large,60.736,17.702127659574465
19,c5.large,62.05,1.0
20,m5a.large,62.78,1.0
21,m1.medium,63.51,1.9772727272727273
22,t2.large,67.744,16.0
23,c5d.large,70.08,1.0
24,m5.large,70.08,1.1162790697674418
25,c4.large,73.0,1.0
26,m4.large,73.0,1.0
27,a1.xlarge,74.46,4.0
28,m5ad.large,75.19,1.0
29,c3.large,76.65,1.0
30,c5n.large,78.84,1.0
31,m5d.large,82.49,1.0
32,r5a.large,82.49,1.0
33,r5.large,91.98,1.1150442477876108
34,c1.medium,94.9,1.0
35,r5ad.large,95.63,1.0
36,m3.large,97.09,1.9850746268656718
37,r4.large,97.09,1.0
38,r5d.large,105.12,1.0
39,t3a.xlarge,109.792,32.0
40,i3.large,113.88,1.0
41,r3.large,121.18,1.0
42,t3.xlarge,121.472,35.40425531914893
43,c5.xlarge,124.1,2.0
44,m5a.xlarge,125.56,2.0
45,m1.large,127.75,3.9772727272727275
46,t2.xlarge,135.488,32.0
47,z1d.large,135.78,1.0
48,c5d.xlarge,140.16,2.0
49,m5.xlarge,140.16,2.2325581395348837
50,c4.xlarge,145.27,1.9900000000000002
51,m4.xlarge,146.0,2.0
52,a1.2xlarge,148.92,8.0
53,m5ad.xlarge,150.38,2.0
54,c3.xlarge,153.3,2.0
55,c5n.xlarge,157.68,2.0
56,i3en.large,164.98,1.0
57,m5d.xlarge,164.98,2.0
58,r5a.xlarge,164.98,2.0
59,m2.xlarge,178.85,1.0
60,r5.xlarge,183.96,2.2300884955752216
61,r5ad.xlarge,191.26,2.0
62,m3.xlarge,194.18,3.9701492537313436
63,r4.xlarge,194.18,2.0
64,r5d.xlarge,210.24,2.0
65,t3a.2xlarge,219.584,64.0
66,i3.xlarge,227.76,2.0
67,t3.2xlarge,242.944,70.80851063829786
68,r3.xlarge,243.09,2.0060240963855422
69,c5.2xlarge,248.2,4.0
70,m5a.2xlarge,251.12,4.0
71,m1.xlarge,255.5,7.954545454545455
72,t2.2xlarge,270.976,64.0
73,z1d.xlarge,271.56,2.0
74,c5d.2xlarge,280.32,4.0
75,m5.2xlarge,280.32,4.465116279069767
76,c4.2xlarge,290.54,3.9800000000000004
77,m4.2xlarge,292.0,4.0
78,a1.4xlarge,297.84,16.0
79,m5ad.2xlarge,300.76,4.0
80,c3.2xlarge,306.6,4.0
81,c5n.2xlarge,315.36,4.0
82,i3en.xlarge,329.96,2.0
83,m5d.2xlarge,329.96,4.0
84,r5a.2xlarge,329.96,4.0
85,h1.2xlarge,341.64,1.0
86,m2.2xlarge,357.7,2.0
87,r5.2xlarge,367.92,4.460176991150443
88,c1.xlarge,379.6,4.0
89,r5ad.2xlarge,382.52,4.0
90,m3.2xlarge,388.36,7.940298507462687
91,r4.2xlarge,388.36,4.0
92,r5d.2xlarge,420.48,4.0
93,i3.2xlarge,455.52,4.0
94,g2.2xlarge,474.5,1.0
95,r3.2xlarge,485.45,4.006024096385542
96,c5.4xlarge,496.4,8.0
97,m5a.4xlarge,502.24,8.0
98,d2.xlarge,503.7,1.0
99,z1d.2xlarge,543.12,4.0
100,g3s.xlarge,547.5,1.0
101,c5d.4xlarge,560.64,8.0
102,m5.4xlarge,560.64,8.930232558139535
103,c4.4xlarge,581.08,7.960000000000001
104,m4.4xlarge,584.0,8.0
105,m5ad.4xlarge,601.52,8.0
106,x1e.xlarge,608.82,1.0
107,c3.4xlarge,613.2,8.0
108,i2.xlarge,622.69,1.0
109,c5n.4xlarge,630.72,8.0
110,p2.xlarge,657.0,1.0
111,i3en.2xlarge,659.92,4.0
112,m5d.4xlarge,659.92,8.0
113,r5a.4xlarge,659.92,8.0
114,h1.4xlarge,683.28,2.0
115,m2.4xlarge,715.4,4.0
116,r5.4xlarge,735.84,8.920353982300886
117,r5ad.4xlarge,765.04,8.0
118,r4.4xlarge,776.72,8.0
119,z1d.3xlarge,814.68,6.0
120,g3.4xlarge,832.2,1.52
121,r5d.4xlarge,840.96,8.0
122,i3.4xlarge,911.04,8.0
123,r3.4xlarge,970.9,8.012048192771084
124,i3en.3xlarge,989.88,6.0
125,m5a.8xlarge,1004.48,16.0
126,d2.2xlarge,1007.4,2.0
127,c5.9xlarge,1116.9,18.000000000000004
128,m5.8xlarge,1121.28,17.86046511627907
129,c4.8xlarge,1161.43,15.91
130,f1.2xlarge,1204.5,1.0
131,x1e.2xlarge,1217.64,2.0
132,c3.8xlarge,1226.4,16.0
133,i2.2xlarge,1244.65,1.9988276670574443
134,c5d.9xlarge,1261.44,18.0
135,m5d.8xlarge,1319.84,16.0
136,r5a.8xlarge,1319.84,16.0
137,h1.8xlarge,1366.56,4.0
138,c5n.9xlarge,1419.12,17.999999999999996
139,cc2.8xlarge,1460.0,1.0
140,m4.10xlarge,1460.0,20.0
141,r5.8xlarge,1471.68,17.840707964601773
142,c5.12xlarge,1489.2,24.000000000000004
143,m5a.12xlarge,1506.72,24.0
144,r4.8xlarge,1553.44,16.0
145,z1d.6xlarge,1629.36,12.0
146,g3.8xlarge,1664.4,3.04
147,m5.12xlarge,1681.92,26.790697674418606
148,r5d.8xlarge,1681.92,16.0
149,m5ad.12xlarge,1804.56,24.0
150,i3.8xlarge,1822.08,16.0
151,g2.8xlarge,1898.0,4.0
152,r3.8xlarge,1941.8,16.02409638554217
153,i3en.6xlarge,1979.76,12.0
154,m5d.12xlarge,1979.76,24.0
155,r5a.12xlarge,1979.76,24.0
156,m5a.16xlarge,2008.96,32.0
157,d2.4xlarge,2014.8,4.0
158,r5.12xlarge,2207.52,26.761061946902657
159,c5.18xlarge,2233.8,36.00000000000001
160,p3.2xlarge,2233.8,1.0
161,m5.16xlarge,2242.56,35.72093023255814
162,r5ad.12xlarge,2295.12,24.0
163,m4.16xlarge,2336.0,32.0
164,f1.4xlarge,2409.0,2.0
165,x1e.4xlarge,2435.28,4.0
166,i2.4xlarge,2489.3,3.9976553341148886
167,c5d.18xlarge,2522.88,36.0
168,r5d.12xlarge,2522.88,24.0
169,cr1.8xlarge,2555.0,1.0
